pkg1 file1 pkg2 file2 pairFreq clusterid expected
gacore genomeassembly.h genomebrowser gbplot.h 6 0 FALSE
genomebrowser/gbrender config.h genomebrowser gbdata.h 6 0 FALSE
gacore gainterval.h genomebrowser gbplot.h 6 0 FALSE
ghicore util.h genomebrowser gbdata.h 5 0 FALSE
gacore genomeassembly.h genomebrowser gbscaleengine.h 5 0 FALSE
gacore gainterval.h genomebrowser gbdata.h 5 0 FALSE
ghicore util.h gacore genomeassembly.h 5 0 FALSE
gacore genomeassembly.h genomebrowser gbinterval.h 4 0 FALSE
3rdparty/bamtools/src/api/internal BamStandardIndex_p.h 3rdparty/bamtools/src/api BamAlignment.h 4 0 FALSE
genomebrowser/gbrender config.h genomebrowser gbplotrenderer.h 4 0 FALSE
3rdparty/bamtools/src/api/internal BamToolsIndex_p.h 3rdparty/bamtools/src/api BamReader.h 4 0 FALSE
3rdparty/bamtools/src/api BamIndex.h 3rdparty/bamtools/src/api/internal BamReader_p.h 4 0 FALSE
3rdparty/bamtools/src/api BamAlignment.h 3rdparty/bamtools/src/api/internal BamRandomAccessController_p.h 4 0 FALSE
3rdparty/bamtools/src/api api_global.h 3rdparty/bamtools/src/api/internal BamRandomAccessController_p.h 4 0 FALSE
3rdparty/bamtools/src/api/internal BamToolsIndex_p.h 3rdparty/bamtools/src/api BamIndex.h 4 0 FALSE
3rdparty/bamtools/src/api/internal BamStandardIndex_p.h 3rdparty/bamtools/src/api api_global.h 4 0 FALSE
3rdparty/bamtools/src/api BamReader.h 3rdparty/bamtools/src/api/internal BamReader_p.h 4 0 FALSE
gacore bamfile.h 3rdparty/bamtools/src/api BamAlignment.h 4 0 FALSE
3rdparty/bamtools/src/api BamAlignment.h gacore gafeaturesourceinfo.h 3 0 FALSE
3rdparty/bamtools/src/api BamIndex.h gacore bamfile.h 3 0 FALSE
3rdparty/bamtools/src/api BamIndex.h gacore gafeaturesourceinfo.h 3 0 FALSE
genomebrowser gbsourceitemmodel.h gacore gafeaturesourceinfo.h 3 0 FALSE
3rdparty/bamtools/src/api/internal BamRandomAccessController_p.h gacore bamfile.h 3 0 FALSE
3rdparty/bamtools/src/api/internal BamRandomAccessController_p.h gacore gafeaturesourceinfo.h 3 0 FALSE
gacore genomeassembly.h genomebrowser gbscalezoomer.h 3 0 FALSE
3rdparty/bamtools/src/api/internal BamReader_p.h gacore gafeaturesourceinfo.h 3 0 FALSE
genomebrowser/gbrender util.h genomebrowser gbplot.h 3 0 FALSE
gacore genomeassemblyregistry.h genomebrowser gbscaleengine.h 3 0 FALSE
3rdparty/bamtools/src/api BamReader.h gacore gafeaturereader.h 3 0 FALSE
3rdparty/bamtools/src/api/internal BamToolsIndex_p.h gacore gafeaturesourceinfo.h 3 0 FALSE
ghicore util.h gacore genomeassemblyregistry.h 3 0 FALSE
ghicore util.h genomebrowser gbcontroltools.h 3 0 FALSE
3rdparty/bamtools/src/api/internal BamStandardIndex_p.h gacore gafeaturereader.h 3 0 FALSE
genomebrowser/gbrender config.h genomebrowser gblandmarknavigator.h 3 0 FALSE
genomebrowser/gbrender config.h genomebrowser gbscale.h 3 0 FALSE
3rdparty/bamtools/src/api/internal BamStandardIndex_p.h gacore bamfile.h 3 0 FALSE
3rdparty/bamtools/src/api/internal BamStandardIndex_p.h gacore gafeaturesourceinfo.h 3 0 FALSE
genomebrowser sqlitedatasource.h genomebrowser/gbrender config.h 3 0 FALSE
3rdparty/bamtools/src/api BamReader.h gacore gafeaturesourceinfo.h 3 0 FALSE
3rdparty/bamtools/src/api/internal BamToolsIndex_p.h gacore bamfile.h 3 0 FALSE
3rdparty/bamtools/src/api api_global.h gacore gafeaturesourceinfo.h 3 0 FALSE
gacore gafeaturereader.h 3rdparty/bamtools/src/api/internal BamRandomAccessController_p.h 3 0 FALSE
3rdparty/bamtools/src/api BamReader.h gacore bamfile.h 3 0 FALSE
3rdparty/bamtools/src/api api_global.h gacore bamfile.h 3 0 FALSE
3rdparty/bamtools/src/api/internal BamReader_p.h gacore bamfile.h 3 0 FALSE
gacore gafeaturereader.h 3rdparty/bamtools/src/api BamIndex.h 3 0 FALSE
genomebrowser gbpileuprenderer.h genomebrowser/gbrender pileuprenderer.h 2 0 FALSE
genomebrowser gbrendercoveragerenderer.h genomebrowser/gbrender util.h 2 0 FALSE
gacore genomeassemblyregistry.h genomebrowser gbscalezoomer.h 2 0 FALSE
genomebrowser/gbrender coveragerenderer.h genomebrowser gbplot.h 2 0 FALSE
genomebrowser gbrendererbase.h genomebrowser/gbrender pileuprenderer.h 2 0 FALSE
genomebrowser gbdata.h genomebrowser gbplot.h 35 0 TRUE
genomebrowser gbplot.h genomebrowser gblandmarknavigator.h 35 0 TRUE
